,cost_for_two,cuisines,locality,rest_name
0,,"['Indian', 'Rajasthani']",Al Karama,Maharaja Bhog - مهراجا بهوج
1,,"['Indian', 'North Indian', 'Kebab']",Al Karama,Dhaba Lane - دهبا لان
2,,"['Biryani', 'North Indian', 'Pakistani', 'Mughlai', 'Afghan', 'Indian', 'Kebab']",Al Karama,Sthan - ستان
3,,"['Goan', 'Chinese', 'Indian', 'North Indian']",Umm Hurair,Grub Shack - جروب شاك
4,,"['Indian', 'North Indian', 'Contemporary']","Emirates Financial Towers, DIFC",Mint Leaf of London
5,,"['Indian', 'Gujarati', 'Rajasthani']",Al Karama,Rasoi Ghar - رسوي غر
6,,"['Chinese', 'Beverages', 'Street Food']",Al Karama,Yalla Momos - يلا موموز
7,,"['Indian', 'Street Food', 'Maharashtrian']",Al Karama,Chaat Bazaar - شات بازار
8,,"['American', 'Burger', 'Salad']",DIFC,Original Wings & Rings
9,,"['Indian', 'North Indian']","Al Seef, Umm Hurair",Mitra
10,,"['Indian', 'Contemporary']","CITY WALK, Al Safa",Farzi Cafe - فرزي كافيه
11,,"['Indian', 'Grill', 'Kebab']",Al Karama,The Meating Room - ذا ميتينج روم
12,,"['Arabian', 'Middle Eastern', 'Salad', 'Kebab']",Al Muraqqabat,Aroos Damascus - عروس دمشق
13,,"['Japanese', 'Sushi', 'Chinese', 'Asian']",Oud Metha,Moshi - Momo & Sushi - موشي - مومو اند...
14,,"['Indian', 'BBQ', 'Kebab']","Centurion Star Tower, Deira City Centre Area",AB's Absolute Barbecues - ابسليوت...
15,,"['Lebanese', 'Turkish']","La Mer, Jumeirah 1",Zouzou
16,,"['Indian', 'Chinese', 'Kebab']",Al Nahda,Masala Wok - ماسالا ووك
17,,['Kebab'],Mankhool,Al Ustad Special Kabab - الاستاد للكباب...
18,,"['American', 'Fast Food']",Umm Suqeim,Buffalo Wild Wings - بافالو وايلد وينجز
19,,"['American', 'Desserts', 'Salad']","The Dubai Mall,Downtown Dubai",The Cheesecake Factory - ذي تشيزكيك...
20,,"['Indian', 'Beverages']",Al Karama,Calicut Paragon - كاليكوت باراجون
21,,"['Desserts', 'Cafe']","Al Ghurair Centre, Al Rigga",The Choco Monarch - ذي شوكو منارش
22,,"['Indian', 'North Indian']","The Beach, Jumeirah Beach Residence",Bombay Bungalow - بومباي بنغالو
23,,"['Chinese', 'Japanese', 'Asian']","Cluster J, Jumeirah Lake Towers",Wokyo™ Noodle Bar - وكيو نودل بار
24,,"['Lebanese', 'Street Food']",Al Barsha,Allo Beirut - الو بيروت
25,,"['Japanese', 'Sushi', 'Salad', 'Desserts']",DIFC,Zuma - زوما
26,,"['Chinese', 'Asian', 'Thai']",Al Karama,China Bistro - تشاينا بيسترو
27,,"['Lebanese', 'Arabian', 'Salad']",Trade Centre Area,Zaroob - زاروب
28,,"['Asian', 'Sushi']","Jumeirah Fishing Harbour, Jumeirah 2",3 Fils - 3 فلس
29,,"['Indian', 'Chinese']",Al Karama,Jaffer Bhai's - جعفر بهايز
30,,"['Mediterranean', 'Italian', 'Thai', 'European']",Al Barari,The Farm
31,,"['Asian', 'Indian']","Dusit Thani Dubai, Trade Centre Area",24th St.
32,,"['Bakery', 'Desserts']",Oud Metha,Ribbons & Balloons - ريبونز و بالونس
33,,"['Indian', 'North Indian', 'Street Food']",Mankhool,SpiceKlub - سبايس كلوب
