,cost_for_two,cuisines,locality,rest_name
0,,"['Italian', 'Pizza', 'Pasta']",Al Dhafrah,Pizza Di Rocco
1,,"['Indian', 'North Indian']",Al Markaziya,Wazwan Restaurant
2,,"['Lebanese', 'Arabian', 'Middle Eastern']",Embassies District,Mosaic
3,,"['North Indian', 'Mughlai', 'Biryani']",Tourist Club Area (Al Zahiyah),India Palace
4,,['Kerala'],"Madinat Zayed Shopping Centre, Madinat Zayed",Calicut Notebook
5,,"['Indian', 'BBQ']","Al Wahda Mall, Al Wahda",Barbeque Nation
6,,"['Lebanese', 'Arabian', 'Middle Eastern']",Najda,Bait El Khetyar - بيت الختيار
7,,"['Indian', 'Biryani', 'Hyderabadi']",Al Markaziya,Ritaj
8,,"['American', 'Desserts', 'Beverages']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Denny's - دينيز
9,,"['Indian', 'North Indian', 'Chinese']",Najda,Via Delhi
10,,['Filipino'],Al Markaziya,Max's Restaurant
11,,"['North Indian', 'Street Food', 'Kebab']",Tourist Club Area (Al Zahiyah),Punjab Highway Restaurant
12,,"['Indian', 'North Indian', 'Biryani']","The Galleria, Al Maryah Island",Biryani Pot
13,,['Lebanese'],Al Dhafrah,Zahrat Lebnan
14,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Beverages']",Al Markaziya,Al Farah - الفرح
15,,['Indian'],"World Trade Center Mall, Al Markaziya",Tamba
16,,"['Pizza', 'Italian', 'Fast Food']","World Trade Center Mall, Al Markaziya",Papa Murphy's Pizza- World Trade Center Mall
17,,"['Indian', 'Chinese']",Najda,Indian By Nature
18,,"['Indian', 'North Indian', 'South Indian', 'Chinese']",Al Wahda,Tandoori Corner
19,,"['Burger', 'Fast Food', 'British']",Muroor,Tobasco's
20,,"['Indian', 'Mughlai', 'Chinese']",Al Markaziya,Nihal Restaurant
21,,"['Pakistani', 'Indian', 'Afghan']",Al Markaziya,Boti Street
22,,"['Indian', 'Fast Food', 'Chinese']",Tourist Club Area (Al Zahiyah),Come And Eat
23,,"['Cafe', 'Healthy Food', 'Burger', 'Salad']",Al Nahyan,Shabby Chic Cafe
24,,"['Asian', 'Beverages']","Al Wahda Mall, Al Wahda",Ming's Chamber
25,,"['Indian', 'South Indian', 'North Indian', 'Biryani']",Najda,Ghee Rice
26,,"['Pakistani', 'Indian', 'Afghan', 'Beverages']",Mussafah Sanaiya,Tikka Tonight
27,,"['Mandi', 'Emirati', 'Arabian', 'Middle Eastern']",Al Dhafrah,Najd Palace - قصر نجد
28,,"['Lebanese', 'Arabian', 'Middle Eastern']",Najda,Zaatar w Zeit - زعتر و زيت
29,,['Indian'],Tourist Club Area (Al Zahiyah),MYNT Indian Cuisine
30,,"['Indian', 'Street Food', 'Desserts']",Najda,Salam Bombay
31,,"['Cafe', 'Arabian', 'Middle Eastern']",Al Karamah,Cafe Arabia
32,,"['Asian', 'Seafood']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Wagamama
33,,"['Chinese', 'Filipino']",Al Markaziya,Chowking
34,,['Turkish'],Al Khalidiya,Chagh Kabab
35,,"['Korean', 'Asian']",Najda,Korean Kitchen
36,,"['Italian', 'Salad', 'Desserts', 'Beverages']","World Trade Center Mall, Al Markaziya",Jazz@PizzaExpress
37,,"['Portuguese', 'African']","World Trade Center Mall, Al Markaziya",Nando's The Mall - World Trade Center
38,,"['Pizza', 'Italian', 'American']","Al Wahda Mall, Al Wahda",Russo's New York Pizzeria
39,,['Filipino'],"Madinat Zayed Shopping Centre, Madinat Zayed",Hot Palayok
40,,"['Fast Food', 'Juices', 'Grill']",Al Khalidiya,Smart Cafeteria
41,,['Indian'],Madinat Zayed,Sangeetha Vegetarian Restaurant
42,,"['Burger', 'American', 'Steak']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Famous Dave's Barbecue
43,,"['Indian', 'Biryani', 'North Indian', 'Kebab', 'Mughlai']","Khalidiyah Mall, Al Khalidiya",Gazebo
44,,"['Sushi', 'Japanese']",Al Khalidiya,Sushi Story
45,,"['Sushi', 'Japanese']",Al Khalidiya,Sushi Story
46,,"['American', 'Desserts', 'Salad']","Yas Mall, Yas Island",The Cheesecake Factory - ذي تشيزكيك...
47,,"['Indian', 'North Indian', 'Chinese']",Madinat Zayed,Golden Spoon Vegetarian Restaurant
48,,"['Indian', 'North Indian']","Venetian Village, Al Maqtaa",Punjab Grill
49,,"['Pakistani', 'Indian', 'BBQ', 'Biryani']",Al Khalidiya,Masala
50,,"['Japanese', 'Sushi', 'Salad']","The Galleria, Al Maryah Island",Zuma
51,,"['Indian', 'Mughlai', 'North Indian']","Souk Qaryat Al Beri, Al Maqtaa",Ushna
52,,['Seafood'],Al Karamah,Off The Hook
53,,"['Thai', 'Sushi']","Shams BOUTIK, Al Reem Island",Smoking Doll
54,,['Cafe'],"Al Maha Arjaan by Rotana, Al Markaziya",Cafe 302 - Al Maha Arjaan by Rotana
55,,"['Indian', 'North Indian', 'South Indian', 'Street Food', 'Desserts']",Najda,Chhappan Bhog
56,,"['Sushi', 'Japanese']","The Galleria, Al Maryah Island",SushiArt
57,,"['Korean', 'Asian']",Al Nahyan,Hankook Korean
58,,"['Bakery', 'Desserts']","The Galleria, Al Maryah Island",Magnolia Bakery
59,,"['Healthy Food', 'Salad']",Al Nahyan,Kcal
60,,"['Fast Food', 'Afghan', 'Salad', 'Desserts', 'Beverages']","The Galleria, Al Maryah Island",Nolu's Downtown
61,,"['Turkish', 'Arabian', 'Middle Eastern']",Al Dhafrah,Sofra Istanbul - سفرة اسطنبول
62,,"['Healthy Food', 'Italian', 'Mexican', 'Salad']",Al Reem Island,Natural Kitchen
63,,"['Korean', 'Asian']","Al Ghazal Golf Club, Masdar City",Madang Korean
64,,"['Cafe', 'European', 'American', 'Salad', 'Healthy Food', 'Continental']",Al Bateen,Art House Cafe
65,,"['Indian', 'North Indian', 'Kebab', 'Biryani']","Dalma Mall, Mussafah Sanaiya",The Yellow Chilli by Sanjeev Kapoor
66,,"['Cafe', 'Salad']",Al Bateen,No.Fifty Seven Boutique Cafe
67,,"['Burger', 'Fast Food', 'Portuguese', 'African']","Al Wahda Mall, Al Wahda",Galito's
68,,"['Italian', 'Pizza']","Eastern Mangroves Promenade, Eastern Mangroves",Carluccio's
69,,"['Indian', 'North Indian', 'Mughlai']","Eastern Mangroves Promenade, Eastern Mangroves",Peppermill
70,,"['Tex-Mex', 'Mexican']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Chili's
71,,"['South Indian', 'North Indian', 'Chinese', 'Seafood']",Al Markaziya,Subhiksha Restaurant
72,,"['Turkish', 'Arabian', 'Middle Eastern']",Al Khalidiya,Pasha Turkish Restaurant
73,,['Brazilian'],"Al Ghazal Golf Club, Masdar City",Ola Brasil Restaurant
