,cost_for_two,cuisines,locality,rest_name
0,,"['Burger', 'American', 'Steak']","Ajman Sports Park, Al Hamidiya",71OZ Steakhouse
1,,"['Indian', 'Biryani', 'North Indian', 'Kebab', 'Mughlai']","City Life Jurf, Al Jurf",Gazebo
2,,"['Pakistani', 'North Indian']","Ajman One Towers, Al Rashidiya 3",Sindh Shahbaz Restaurant
3,,"['Indian', 'Kebab', 'Biryani', 'Mughlai']",Al Rashidiya 2,Deccan Delight
4,,"['Arabian', 'Middle Eastern']",Al Rashidiya 3,Bab Al Hara Restaurant
5,,"['Turkish', 'Cafe']","Corniche Avenue, Ajman Corniche",Sultan Saray
6,,"['Fast Food', 'Beverages']",Al Rashidiya 2,The Chai Stop
7,,"['Indian', 'North Indian']","Ajman Hotel, Ajman Corniche",Bukhara - Ajman Hotel
8,,"['Pakistani', 'Indian', 'Biryani', 'Kebab']",Nuaimiya,Masala And Co.
9,,"['Indian', 'Mughlai', 'Pakistani']",Nuaimiya,Delhi Nihari Restaurant
10,,"['Indian', 'South Indian']",Al Bustan,Curry Chatti Restaurant
11,,"['Emirati', 'Arabian', 'Middle Eastern']","Al Zorah Golf Club, Al Zorah",The Grove Restaurant - Al Zorah Golf Club
12,,"['Mandi', 'Arabian', 'Middle Eastern']","Ajman One Towers, Al Rashidiya 3",Al Rukn Al Arabi Mandi Restaurant
13,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Syrian']","Corniche Avenue, Ajman Corniche",Al Roof Restaurant & Cafe
14,,['Seafood'],Ajman Corniche,Themar Al Bahar Restaurant
15,,"['Sushi', 'Japanese']","Al Zorah Golf Club, Al Zorah",Litchy Sushi Lounge - Al Zorah Golf Club
16,,"['Indian', 'Pakistani']",Al Rashidiya 3,Lahori Dera Restaurant
17,,"['Pakistani', 'Biryani', 'Mughlai']",Nuaimiya,B4 Biryani Restaurant
18,,"['Cafe', 'Italian', 'Desserts']",Al Jurf,The Secret Garden Cafe
19,,"['Indian', 'Street Food', 'South Indian', 'North Indian']",Nuaimiya,Chandni Chowk Restaurant
20,,"['Italian', 'Sushi']",Al Hamidiya,Food Box
