,cost_for_two,cuisines,locality,rest_name
0,,"['Arabian', 'Middle Eastern', 'Seafood']",Town Centre,Al Meshwar
1,,"['Italian', 'Pizza']","Fujairah City Centre, Haleefath",PizzaExpress
2,,"['Arabian', 'Middle Eastern', 'Italian', 'European', 'Indian']","Radisson Blu Resort, Sudah",Breeze - Radisson Blu Resort
3,,['Pakistani'],Al Hilal,Shan-e-Pakistan
4,,"['American', 'Mexican', 'Burger']","Fujairah Mall, Anajaimat",Applebee's
5,,['Fast Food'],Owaid,Al Bake
6,,['Irish'],Haleefath,McGettigan's FJR
7,,"['Indian', 'Chinese', 'Arabian', 'Middle Eastern', 'Bakery']",Seh Al Rahi,Caesars Restaurant
8,,['Turkish'],Sudah,Othmani Turkish Restaurant
9,,['Indian'],Sudah,Maharajah Cafe
10,,['Iranian'],Al Faseel,Sadaf
11,,"['Italian', 'Arabian', 'Middle Eastern', 'Seafood']","Le M√©ridien Al Aqah Beach Resort, Sudah",Views Brasserie - Le Méridien Al Aqah Beach Resort
12,,"['Arabian', 'Middle Eastern']","Fujairah Trade Centre, Fujairah City",Al Mallah
13,,['Turkish'],Merashid,Al Tarboosh
14,,"['Pizza', 'Fast Food']",Town Centre,Pizza Hut
15,,['Fast Food'],Al Mahatta,Al Shamaa
16,,"['Seafood', 'International']","Fairmont Fujairah Beach Resort, Sudah",The Copper Lobster - Fairmont Fujairah Beach Resort
17,,"['Arabian', 'Middle Eastern']","Fujairah Trade Centre, Fujairah City",Al Mallah
18,,"['Arabian', 'Middle Eastern', 'Italian', 'Indian']",Madhab,Bon Appetit
19,,['Fast Food'],Town Centre,KFC
20,,['American'],"InterContinental Hotel & Resorts, Sudah",DRiFT Seafood Kitchen & Bar - InterContinental...
21,,"['Pizza', 'Fast Food']",Town Centre,Pizza Hut
22,,"['Indian', 'North Indian']",Sudah,Makani
23,,['Steak'],"Le M√©ridien Al Aqah Beach Resort, Sudah",Gonu Bar and Grill - Le Méridien Al Aqah Beach Resort
24,,"['Indian', 'South Indian']",Merashid,Chennai Darbar
25,,"['Cafe', 'Bakery']",Seh Al Rahi,Dolci Paris
26,,"['Lebanese', 'Chinese', 'South Indian', 'Mughlai']",Madhab,Eat & Drink
27,,['Italian'],"Millennium Hotel, Anajaimat",Shardana Italian Restaurant
28,,"['Indian', 'Chinese', 'Arabian', 'Middle Eastern']",Merashid,Jeddah Palace Restaurant
29,,"['Indian', 'North Indian', 'South Indian']","Lulu Mall, Seh Al Rahi",Anjali
30,,['American'],"InterContinental Hotel & Resorts, Sudah",DRiFT Seafood Kitchen & Bar - InterContinental...
31,,"['Indian', 'South Indian']",Merashid,Chennai Darbar
32,,"['Arabian', 'Middle Eastern', 'Asian', 'American', 'Steak', 'Indian', 'Desserts']","Fujairah Rotana Resort & Spa, Sudah",Waves - Fujairah Rotana Resort & Spa
33,,"['Lebanese', 'Chinese', 'South Indian', 'Mughlai']",Madhab,Eat & Drink
34,,"['Indian', 'Chinese', 'Arabian', 'Middle Eastern']",Merashid,Jeddah Palace Restaurant
35,,"['Arabian', 'Middle Eastern']","Radisson Blu Resort, Sudah",Al Nokhada - Radisson Blu Resort
36,,['Fast Food'],Al Sharia,Eat Hot & Drink Restaurant & Cafeteria
37,,"['Cafe', 'Arabian', 'Desserts']",Al Hilal,Photo Cafe
38,,['Continental'],"Radisson Blu Resort, Sudah",The Lounge - Radisson Blu Resort
39,,"['Burger', 'Fast Food']",Town Centre,Hardee's
40,,"['Indian', 'South Indian']",Al Mahatta,Thalassery
41,,"['Indian', 'South Indian', 'North Indian']",Merashid,Nalukettu
42,,"['Arabian', 'Middle Eastern', 'Mediterranean']","Nour Arjaan by Rotana,Town Centre",Murjan - Nour Arjaan by Rotana
43,,"['Indian', 'Fast Food']",Al Mahatta,Green Valley
44,,['Turkish'],Haleefath,Mado
45,,['Italian'],Sudah,Marina Restaurant and Cafe
46,,['Iranian'],Town Centre,Shahrzad Palace
47,,['Steak'],"Radisson Blu Resort, Sudah",Grand Bleu - Radisson Blu Resort
48,,"['Indian', 'South Indian', 'Kerala']","City Tower Hotel, Town Centre",Kairali - City Tower Hotel
49,,['European'],"Fujairah Rotana Resort & Spa, Sudah",Sharkeys - Fujairah Rotana Resort & Spa
50,,['American'],"Fujairah Mall, Anajaimat",O'Learys
51,,"['Cafe', 'Desserts']",Sudah,Patatello Cafe
52,,"['American', 'Japanese', 'Mexican']",Town Centre,Lava Lounge
53,,"['Arabian', 'Middle Eastern']",Al Mahatta,Hadramout Mandi
54,,"['Fast Food', 'Burger', 'American']",Fujairah Port,McDonald's
55,,"['Asian', 'Chinese', 'Thai', 'Seafood']","Fujairah City Centre, Haleefath",Asian Wok
56,,"['Arabian', 'Middle Eastern']",Ghalala,Al Shami
57,,['Finger Food'],"Le M√©ridien Al Aqah Beach Resort, Sudah",Baywatch Beach Bar - Le Méridien Al Aqah Beach Resort
58,,['Pizza'],Free Zone,Papa John's
59,,"['Finger Food', 'Arabian', 'Middle Eastern', 'Seafood']","Miramar Al Aqah Beach Resort, Sudah",Bahari Bar & Grill
60,,"['Salad', 'Finger Food']","Fairmont Fujairah Beach Resort, Sudah",IAMMAI - Fairmont Fujairah Beach Resort
61,,['International'],Rughaylat,The Sailors Restaurant & Cafe
62,,"['Indian', 'North Indian', 'South Indian']","Fujairah City Centre, Haleefath",Bombay Chowpatty
63,,['Italian'],"Miramar Al Aqah Beach Resort, Sudah",Mammone - Miramar Al Aqah Beach Resort
64,,['British'],Seh Al Rahi,The Orangery
65,,"['Indian', 'North Indian', 'Chinese']",Safad,Delhi Darbar
66,,['Mediterranean'],"Novotel, Seh Al Rahi",Flavours - Novotel
67,,"['Indian', 'Arabian', 'Middle Eastern']",Sudah,Sulaimani Restaurant
68,,"['Indian', 'North Indian']","Lulu Mall, Seh Al Rahi",Royal Tandoor
69,,"['Filipino', 'Seafood', 'Chinese']",Ghalala,Golden Fork
70,,"['Arabian', 'Middle Eastern']",Sudah,Al Noaman
71,,"['Arabian', 'Middle Eastern']",Merashid,Al Lewan
72,,"['Continental', 'American', 'Arabian', 'Middle Eastern', 'Italian', 'Indian', 'Healthy Food']","Millennium Hotel, Anajaimat",Al Rihla
73,,"['Emirati', 'Arabian', 'Middle Eastern']",Rughaylat,Redan
74,,['Fast Food'],Ghalala,Space Toon
75,,['Cafe'],Old City,Finjan Cafe
76,,['Pakistani'],Merashid,Karachi Darbar
77,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Mahatta,Layali Aden
78,,['Fast Food'],Al Gurfaa,Al Arooba
79,,['Middle Eastern'],Al Hilal,Food Way Restaurant
80,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Mahatta,Layali Al Sham
81,,"['Fast Food', 'American']",Al Hilal,Texas Chicken
82,,"['Thai', 'Japanese', 'Indonesian', 'Chinese']","Miramar Al Aqah Beach Resort, Sudah",Sensasia - Miramar Al Aqah Beach Resort
83,,"['Fast Food', 'Healthy Food', 'American', 'Salad']",Sudah,Subway
84,,['Filipino'],"City Tower Hotel, Town Centre",Manila Beats - City Tower Hotel
85,,"['Ice Cream', 'Desserts']","Century Mall Fujairah, Al Sharia",Cold Stone Creamery
86,,['Cafe'],"Fujairah City Centre, Haleefath",Starbucks
87,,"['Indian', 'South Indian']",Safad,Tharavad
88,,['Turkish'],"Fujairah Trade Centre, Fujairah City",Al Basha
89,,['Cafe'],"Century Mall Fujairah, Al Sharia",Tim Hortons
90,,"['Arabian', 'Middle Eastern', 'Indian', 'Chinese', 'Continental']","City Tower Hotel, Town Centre",Maxim's - City Tower Hotel
91,,"['Arabian', 'Middle Eastern']",Al Faseel,Arous Al Bahar
92,,"['Bakery', 'Cafe']","Fujairah Mall, Anajaimat",Paul Bakery & Cafe
93,,"['Finger Food', 'American']","Millennium Hotel, Anajaimat",Joe's Sports Bar
94,,"['Indian', 'Desserts']",Ghalala,Regal
95,,['Cafe'],"Fujairah Trade Centre, Fujairah City",Opera Cafe
96,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Mahatta,Layali Al Sham
97,,['Chinese'],"Lulu Mall, Seh Al Rahi",China Garden
98,,"['Fast Food', 'Healthy Food', 'American', 'Salad']",Al Mahatta,Subway
99,,"['Bakery', 'Cafe']","Fujairah Mall, Anajaimat",Paul Bakery & Cafe
100,,['Cafe'],"Fujairah Trade Centre, Fujairah City",Opera Cafe
101,,"['Arabian', 'Middle Eastern', 'Afghan']",Sudah,Afghan Khaleej Bukhari Restaurant
102,,['Seafood'],"Sandy Beach Hotel & Resort, Sudah",Amouage - Sandy Beach Hotel & Resort
103,,"['Arabian', 'Middle Eastern']",Al Faseel,Arous Al Bahar
104,,"['Finger Food', 'American']","Millennium Hotel, Anajaimat",Joe's Sports Bar
105,,['Emirati'],Sudah,Tanor Lahm Restaurant
106,,"['Arabian', 'Middle Eastern', 'European', 'Asian', 'Italian', 'Steak', 'Desserts']","Miramar Al Aqah Beach Resort, Sudah",Al Majlis - Miramar Al Aqah Beach Resort
107,,['Chinese'],"Lulu Mall, Seh Al Rahi",China Garden
108,,"['Pizza', 'Italian']","Fujairah City Centre, Haleefath",Vanellis
109,,"['Arabian', 'Middle Eastern', 'Afghan']",Sudah,Afghan Khaleej Bukhari Restaurant
110,,['Emirati'],Sudah,Tanor Lahm Restaurant
111,,"['Arabian', 'Middle Eastern', 'European', 'Asian', 'Italian', 'Steak', 'Desserts']","Miramar Al Aqah Beach Resort, Sudah",Al Majlis - Miramar Al Aqah Beach Resort
112,,['British'],"City Tower Hotel, Town Centre",RC Pub - City Tower Hotel
113,,"['Arabian', 'Middle Eastern']",Al Mahatta,Eeva Cafeteria
114,,['Desserts'],Town Centre,Krispy Kreme
115,,['Bakery'],Ghalala,Mawadda Gourmet
116,,['Turkish'],Ghalala,Turkish House
117,,"['Indian', 'Pakistani']",Ghalala,Al Khan
118,,"['Indian', 'North Indian', 'Arabian', 'Middle Eastern']","Fortune Royal Hotel, Ghalala",Freddy's - Fortune Royal Hotel
119,,['International'],"Concorde,Town Centre",Belle View - Concorde
120,,"['Ice Cream', 'Desserts']",Safad,Baskin Robbins
121,,['Fast Food'],Owaid,Chicken 'n' Fries
122,,"['Indian', 'South Indian', 'Arabian', 'Middle Eastern']",Ghalala,Arab Cochin Restaurant
123,,"['Arabian', 'Middle Eastern', 'Indian', 'Chinese']",Merashid,Curry House
124,,"['Arabian', 'Middle Eastern']","Fujairah Trade Centre, Fujairah City",Babylon Cafe
125,,"['Chinese', 'Indian', 'Italian']",Sudah,Roshani Restaurant
126,,['Italian'],Sudah,Itlano Pizza And Pasta Llc
127,,['Italian'],"Hotel ibis, Seh Al Rahi",Il Centro - Hotel ibis
128,,"['Cafe', 'Lebanese']","Miramar Al Aqah Beach Resort, Sudah",Al Moltaqa - Miramar Al Aqah Beach Resort
129,,['Finger Food'],"InterContinental Hotel & Resorts, Sudah",Horizon Lobby Lounge & Bar - InterContinental...
130,,"['Fast Food', 'Italian']",Al Faseel,Bona Roma
131,,['Italian'],"Hotel ibis, Seh Al Rahi",Il Centro - Hotel ibis
132,,['Pizza'],"Fujairah Trade Centre, Fujairah City",Pizza Inn
133,,"['Cafe', 'Lebanese']","Miramar Al Aqah Beach Resort, Sudah",Al Moltaqa - Miramar Al Aqah Beach Resort
134,,['Finger Food'],"InterContinental Hotel & Resorts, Sudah",Horizon Lobby Lounge & Bar - InterContinental...
135,,"['Arabian', 'Middle Eastern', 'Chinese']",Free Zone,Al Osra
136,,"['Fast Food', 'Italian']",Al Faseel,Bona Roma
137,,['Fast Food'],"Fujairah City Centre, Haleefath",New York Fries
138,,['Pakistani'],Sudah,Khaybar Kebab
139,,"['Arabian', 'Middle Eastern']",Safad,Falafil Umdah
140,,"['Indian', 'Pakistani']",Ghalala,Roti Boti
141,,"['Cafe', 'Healthy Food']",Al Sharia,Synergy Cafe
142,,"['American', 'Mexican']","Fujairah Mall, Anajaimat",Sandella's Flatbread Cafe
143,,"['Fast Food', 'Juices']",Ghalala,Jabal Safad
144,,['Finger Food'],"Sandy Beach Hotel & Resort, Sudah",Ocean View Bar - Sandy Beach Hotel & Resort
145,,['Cafe'],"Lulu Mall, Seh Al Rahi",Baker's Boy
146,,['Fast Food'],Merashid,Baniyas
147,,['Desserts'],Fujairah Port,Dunkin'
148,,['Continental'],Sudah,Dibba Rock
149,,"['Indian', 'Hyderabadi']",Al Mahatta,Red Rose
150,,"['Finger Food', 'Arabian', 'Middle Eastern']","Sandy Beach Hotel & Resort, Sudah",Snoopy's Lounge - Sandy Beach Hotel & Resort
151,,"['Indian', 'North Indian']",Sudah,Hindi Darbar
152,,['Filipino'],Al Mahatta,Al Mabrook
153,,['Cafe'],"Fujairah City Centre, Haleefath",Beanstro
154,,"['Indian', 'Pakistani']",Ghalala,Star Restaurant
155,,"['Arabian', 'Middle Eastern', 'Bakery']",Safad,Gulf Pastry
156,,['British'],"Hotel ibis, Seh Al Rahi",Sports Lounge - Hotel ibis
157,,['Fast Food'],Safad,Al Mushrif
158,,"['Cafe', 'Ice Cream']",Al Mahatta,Meltz Cafe
159,,"['Indian', 'Arabian', 'Middle Eastern']","Holiday Beach Resort, Sudah",Coral Restaurant
160,,"['Cafe', 'Bakery']","Fujairah City Centre, Haleefath",PappaRoti
161,,"['Arabian', 'Middle Eastern']",Merashid,Al Mugad
162,,['Finger Food'],"Novotel, Seh Al Rahi",The Bookstore - Novotel
