,cost_for_two,cuisines,locality,rest_name
0,,"['Indian', 'Seafood', 'Asian', 'Iranian']",Al Dhait South,Emirates Sea
1,,"['American', 'Mexican']","Manar Mall, Al Uraibi",Chili's
2,,"['Indian', 'North Indian']",Al Dhait South,Bombay Darbar Restaurant
3,,['Pizza'],"Al Hamra Mall, Al Hamra",PizzaExpress
4,,['Mandi'],Al Dhait North,Madfoon Al Sadda
5,,"['Italian', 'American']",Mina Al Arab,Thunder Road
6,,['Mediterranean'],"The Cove Rotana Resort, Al Dhait South",Basilico - The Cove Rotana Resort
7,,"['Mandi', 'Arabian', 'Middle Eastern', 'Afghan']",Al Dhait North,Qasr Al Afghan Mandy
8,,"['Seafood', 'Biryani', 'North Indian', 'Mughlai', 'Indian', 'Kebab']","RAK Mall, Al Qurm",India Palace
9,,['Cafe'],"Manar Mall, Al Uraibi",The Coffee Club
10,,['Pakistani'],Al Seer,Al Saad Restaurant
11,,['Indian'],Dafan Al Khor,Delux Motimahal
12,,"['Indian', 'South Indian', 'North Indian', 'Chinese']",Al Seer,Kohinoor Restaurant
13,,"['Japanese', 'Sushi']",RAK City,Waga
14,,"['Indian', 'South Indian', 'North Indian', 'Chinese']",Al Seer,Pure Veg Restaurant
15,,"['Continental', 'Arabian', 'Middle Eastern', 'Italian']","The Cove Rotana Resort, Al Dhait South",Cinnamon - The Cove Rotana Resort
16,,"['Fast Food', 'Beverages']",Al Nakheel,Falafel Abu Naeem Cafeteria
17,,['Portuguese'],"Al Hamra Mall, Al Hamra",Nando's Al Hamra Mall
18,,"['Indian', 'Hyderabadi']",Al Jazirat,Hyderabad Restaurant
19,,['Indian'],Al Dhait South,Makani  Restaurant
20,,['Pizza'],Al Dhait South,Pizza Hut
21,,['Steak'],"Waldorf Astoria Ras Al Khaimah, Al Hamra",Lexington Grill - Waldorf Astoria Ras Al Khaimah
22,,"['Indian', 'Chinese', 'Continental']",Sidroh,Caesars Restaurant
23,,"['Japanese', 'Sushi']","Al Hamra Mall, Al Hamra",Sumo Sushi & Bento
24,,"['European', 'Italian', 'Arabian', 'Desserts', 'Cafe']","Al Naeem Mall, Al Nakheel",Shakespeare and Co.
25,,"['Japanese', 'Sushi']","Waldorf Astoria Ras Al Khaimah, Al Hamra",Umi - Waldorf Astoria Ras Al Khaimah
26,,"['Fast Food', 'Beverages']",Al Nakheel,Juice World Restaurant
27,,"['Indian', 'North Indian']","Citymax Hotel Ras Al Khaimah, Nakheel",Claypot - Citymax Hotel Ras Al Khaimah
28,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Dhait South,Bait Al Mandi
29,,['Korean'],Mina Al Arab,KPOP Chicken
30,,['International'],"Waldorf Astoria Ras Al Khaimah, Al Hamra",Qasr Al Bahar - Waldorf Astoria Ras Al Khaimah
31,,['Fast Food'],Al Hamra,Better Taste Restaurant
32,,"['Arabian', 'Middle Eastern', 'Indian', 'Fast Food']",Al Nakheel,Eat & Drink Restaurant
33,,"['Arabian', 'Middle Eastern']",Dafan Al Khor,Yansoon
34,,['European'],"Al Hamra Golf Club, Al Hamra",Maison Mathis
35,,"['European', 'Arabian', 'Middle Eastern', 'Italian', 'Indian']","Marjan Island Resort & Spa, Al Marjan Island",Al Liwan - Marjan Island Resort & Spa
36,,['Fast Food'],"Manar Mall, Al Uraibi",KFC
37,,['Nepalese'],Al Nakheel,Roh Al Ettehad Restaurant
38,,"['Lebanese', 'Arabian', 'Middle Eastern']","Marjan Island Resort & Spa, Al Marjan Island",Zaitouna House - Marjan Island Resort & Spa
39,,"['Belgian', 'European']",Al Hamra,Belgian Cafe
40,,"['Indian', 'South Indian', 'North Indian']",Al Seer,Taj Mahal Restaurant
41,,"['Indian', 'South Indian']",Al Uraibi,Rahmath Restaurant
42,,"['Indian', 'South Indian', 'North Indian']",Al Nakheel,Venus Deluxe Restaurant
43,,['Mediterranean'],Al Rams,1484 By Puro
44,,"['Lebanese', 'Arabian', 'Middle Eastern']","Al Naeem Mall, Al Nakheel",Reem Al Bawadi
45,,"['Fast Food', 'American']","Al Naeem Mall, Al Nakheel",Dairy Queen
46,,['Pizza'],"Al Hamra Mall, Al Hamra",Papa John's
47,,"['Arabian', 'Middle Eastern', 'Indian', 'Mughlai', 'Chinese', 'Iranian']",Sidroh,Sealand
48,,['Mandi'],Al Sall,Hadramout Mandi & Madfoon
49,,"['Arabian', 'Middle Eastern']",Al Qusaidat,Karam Al Sham
50,,"['Mandi', 'Arabian', 'Middle Eastern']",Sidroh,Joraif Mandi
51,,['International'],"DoubleTree by Hilton, Al Marjan Island",Al Marjan - DoubleTree by Hilton
52,,"['Indian', 'North Indian']",Al Uraibi,Al Mehfal Restaurant
53,,"['Finger Food', 'Beverages']","The Cove Rotana Resort, Al Dhait South",Breeze - The Cove Rotana Resort
54,,['Italian'],"DoubleTree by Hilton, Al Marjan Island",Vespa - DoubleTree by Hilton
55,,"['Arabian', 'Middle Eastern', 'Cafe', 'Desserts']",Sidroh,Konafa Coffee
56,,['Indian'],Al Nadiyah,Indian Chef Restaurant
57,,['Indian'],Al Seer,Golden Crown
58,,['Indian'],Al Seer,Kurinji Restaurant
59,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Seer,Lebanese House
60,,['Italian'],"Al Hamra Golf Club, Al Hamra",Pesto Ristorante
61,,"['Cafe', 'Desserts']",Al Hamra,Tucano Cafe
62,,"['Indian', 'South Indian', 'North Indian']",Al Seer,Gafoorka's Thattukada
63,,['Turkish'],"Rixos Bab Al Bahr, Al Marjan Island",Lalezar - Rixos Bab Al Bahr
64,,"['Fast Food', 'Beverages']",Al Uraibi,Hot Fried Chicken
65,,"['Italian', 'Mediterranean']",Al Marjan Island,Puro Cafe & Terrace
66,,"['Filipino', 'Chinese']",Al Nakheel,Mang Ariesyo's Bulaluhan
67,,['Cafe'],Dafan Al Khor,Tim Hortons
68,,"['Lebanese', 'Arabian', 'Middle Eastern']",Mina Al Arab,The Lounge by Manhattan
69,,"['Moroccan', 'Lebanese', 'Arabian', 'Middle Eastern']","Waldorf Astoria Ras Al Khaimah, Al Hamra",Marjan - Waldorf Astoria Ras Al Khaimah
70,,"['Arabian', 'Middle Eastern']",Al Qurm,Ali Baba Restaurant
71,,"['Fast Food', 'Lebanese', 'Arabian', 'Middle Eastern']",Sidroh,Al Farooj
72,,"['Indian', 'South Indian', 'Chinese']",Al Seer,Moonlight Restaurant
73,,"['American', 'Fast Food', 'Burger']",Al Nadiyah,CaliBurger
74,,"['Italian', 'Mexican', 'Asian', 'American']",Al Hamra,Marina Muse
75,,"['Fast Food', 'Pizza', 'Burger']",Al Seer,Canadian Pizza
76,,"['Continental', 'European']",Al Nakheel,Capra Restaurant
77,,"['Fast Food', 'Burger']",Al Dhait South,Voltage Burger
78,,"['Indian', 'Desserts']",Al Seer,The Vegetarian's Restaurant
79,,"['Cafe', 'Desserts']",Mina Al Arab,The Muse Cafe
80,,"['Indian', 'South Indian']",Al Jazirat,Madras Restaurant
81,,['Fast Food'],Dafan Al Khor,Burger King
82,,['Italian'],Al Sall,Al Rukin Al Italy
83,,"['Fast Food', 'Burger', 'American']","Manar Mall, Al Uraibi",McDonald's
84,,['Cafe'],Suhaim,Icons Coffee Couture
85,,['Cafe'],Sidroh,Cafe Barbera
86,,['Cafe'],Mina Al Arab,Communitea
87,,"['Indian', 'Fast Food', 'Desserts']",Suhaim,Bestow Cafe and Restaurant
88,,"['Fast Food', 'Beverages']",Al Nakheel,Al Mashahir Cafeteria
89,,['Fast Food'],Dafan Al Khor,Fresh Chicken King
90,,['Italian'],"Rixos Bab Al Bahr, Al Marjan Island",L'Olivo - Rixos Bab Al Bahr
91,,['Italian'],"Hilton Ras Al Khaimah Beach Resort, Al Mairid",Piaceri da Gustare - Hilton Ras Al Khaimah Beach Resort
92,,"['Cafe', 'Arabian', 'Middle Eastern']","Waldorf Astoria Ras Al Khaimah, Al Hamra",Camelia - Waldorf Astoria Ras Al Khaimah
93,,"['Turkish', 'Lebanese', 'Arabian', 'Middle Eastern']",Al Marjan Island,Seven Heights - Rixos Bab Al Bahr
94,,"['Arabian', 'Middle Eastern', 'Cafe', 'Indian', 'Italian', 'Asian']","Bin Majid Beach Resort, Al Marjan Island",Oasis Restaurant - Bin Majid Beach Resort
95,,"['Burger', 'Fast Food']","Manar Mall, Al Uraibi",Hardee's
96,,"['Arabian', 'Middle Eastern']","Manar Mall, Al Uraibi",Massaya
97,,"['Indian', 'Chinese', 'Fast Food']",Al Seer,Emirates Fried Chicken
98,,['Fast Food'],"Al Hamra Mall, Al Hamra",Texas Chicken
99,,"['Brazilian', 'Latin American']","Hilton Ras Al Khaimah Beach Resort, Al Mairid",Pura Vida - Hilton Ras Al Khaimah Beach Resort
100,,['Finger Food'],"DoubleTree by Hilton, Al Marjan Island",The Anchor Brew & Grill - DoubleTree by Hilton
101,,['Japanese'],Al Nadiyah,Ruzo
102,,"['Indian', 'North Indian']","Manar Mall, Al Uraibi",Yellow Chilli By Sanjeev Kapoor
103,,['Cafe'],Mina Al Arab,Communitea
104,,"['Indian', 'Fast Food', 'Desserts']",Suhaim,Bestow Cafe and Restaurant
105,,['Italian'],"Hilton Ras Al Khaimah Beach Resort, Al Mairid",Piaceri da Gustare - Hilton Ras Al Khaimah Beach Resort
106,,"['Indian', 'South Indian']",Al Jazirat,New Grand Restaurant
107,,['Afghan'],Al Nadiyah,Al Yaqoot Al Afghani
108,,"['Arabian', 'Middle Eastern', 'Indian', 'Chinese']",Al Seer,Grand Restaurant
109,,['Iranian'],Al Dhait South,Sadaf
110,,['Cafe'],"Manar Mall, Al Uraibi",Louis Feraud Caffe
111,,"['Indian', 'South Indian']",Al Seer,Rainbow Restaurant
112,,['Fast Food'],Al Mamourah,Saif Al Khaleej Cafeteria
113,,['Italian'],Mina Al Arab,La Burrata Italian Restaurant
114,,"['Indian', 'Italian', 'Burger']","Bin Majid Beach Hotel, Al Dhait South",Al Rahala Restaurant - Bin Majid Beach Hotel
115,,"['Arabian', 'Middle Eastern']",Al Sall,Al Tawoos Al Irani
116,,"['Fast Food', 'Healthy Food', 'American', 'Salad']",Suhaim,Subway
117,,"['Turkish', 'Lebanese', 'Arabian', 'Middle Eastern']",Al Marjan Island,Seven Heights - Rixos Bab Al Bahr
118,,['Cafe'],"Marjan Island Resort & Spa, Al Marjan Island",Amouage - Marjan Island Resort & Spa
119,,"['Brazilian', 'Latin American']","Hilton Ras Al Khaimah Beach Resort, Al Mairid",Pura Vida - Hilton Ras Al Khaimah Beach Resort
120,,"['Fast Food', 'Beverages']",Al Nakheel,Al Mashahir Cafeteria
121,,"['Thai', 'Filipino', 'Chinese']","RAK Mall, Al Qurm",Siam Palace
122,,"['Indian', 'North Indian']","Manar Mall, Al Uraibi",Dabbawala
123,,"['Fast Food', 'Arabian', 'Middle Eastern', 'Bakery']",Sidroh,Al Noof
124,,['Fast Food'],Al Jazirat,Al Walaem Restaurant
125,,['Chinese'],"Manar Mall, Al Uraibi",Chinese Dragon
126,,"['Cafe', 'Bakery']","Manar Mall, Al Uraibi",PappaRoti
127,,"['Burger', 'Fast Food']","Manar Mall, Al Uraibi",Hardee's
128,,['Steak'],"Rixos Bab Al Bahr, Al Marjan Island",Meat Point - Rixos Bab Al Bahr
129,,['Desserts'],Al Dhait South,Shuffle & Waffle
130,,['Cafe'],Mina Al Arab,Queue Cafe
131,,['Cafe'],Sidroh,Corniche Cafe
132,,['Cafe'],"Waldorf Astoria Ras Al Khaimah, Al Hamra",Peacock Alley - Waldorf Astoria Ras Al Khaimah
133,,"['Italian', 'Indian', 'Arabian', 'Steak']","Hilton Garden Inn, Al Nakheel",The Garden Grille - Hilton Garden Inn
134,,"['Arabian', 'Middle Eastern']",RAK City,Al Abra
135,,"['Arabian', 'Middle Eastern', 'Cafe']",Dafan Al Khor,Al Saraya Restaurant & Cafe
136,,"['Fast Food', 'Burger']",Al Marjan Island,SALT
137,,"['Burger', 'Fast Food']",Dahan,Shanab Burger
138,,['Desserts'],"My City Centre, Al Dhait South",Freez
139,,['Bakery'],Sidroh,Sallora Bakery
140,,['Continental'],The Ritz-Carlton,Farmhouse-The Ritz Carlton
141,,"['Desserts', 'Arabian', 'Middle Eastern']",Dahan,Feras Sweets
142,,"['Indian', 'South Indian', 'North Indian']",Al Dhait South,Al Ain Restaurant
143,,"['Bakery', 'Desserts', 'Cafe']",Dafan Al Khor,Mister Baker
144,,['Fast Food'],Dafan Al Khor,Safeenath Al Bahar
145,,"['North Indian', 'Kerala', 'Chinese', 'Arabian']",Al Mamourah,Spice Village Restaurant
146,,['Afghan'],Al Seer,Kabul Rice Bukhari
147,,"['Italian', 'Mediterranean']","Waldorf Astoria Ras Al Khaimah, Al Hamra",Azure - Waldorf Astoria Ras Al Khaimah
148,,['Cafe'],Dafan Al Khor,Space Cafe
149,,"['American', 'Burger']",Mina Al Arab,Area 51 Burger Cafe
150,,['Indian'],Sidroh,Namaste Cuisine
151,,['Finger Food'],"DoubleTree by Hilton, Dafan Al Khor",TreeTop Bar - DoubleTree by Hilton
152,,"['Continental', 'American', 'Arabian', 'Middle Eastern', 'Asian', 'Indian', 'Burger', 'Italian']","Ras Al Khaimah Hotel, Dafan Al Khor",Awtar
153,,"['Desserts', 'Ice Cream']","Al Naeem Mall, Al Nakheel",Cold Stone Creamery
154,,"['Indian', 'North Indian']","Al Hamra Mall, Al Hamra",Golden Crown
155,,['Indian'],"Al Hamra Mall, Al Hamra",The Rupee Room Express
156,,['Cafe'],RAK City,Laloca Cafe & Lounge
157,,['Finger Food'],"Bin Majid Beach Hotel, Al Dhait South",Pebbles Sports Bar - Bin Majid Beach Hotel
158,,"['Indian', 'South Indian']",Al Nakheel,National Restaurant
159,,"['Pizza', 'Italian']",Al Dhait North,Broccoli Pizza & Pasta
160,,['Cafe'],"Al Hamra Mall, Al Hamra",Starbucks
161,,['Cafe'],"Marjan Island Resort & Spa, Al Marjan Island",Turtle Beach - Marjan Island Resort & Spa
162,,['Cafe'],Al Dhait North,Gerard
163,,['Cafe'],"Al Hamra Mall, Al Hamra",Caffe Nero
164,,"['Arabian', 'Middle Eastern']",Sidroh,Al Sahari
165,,"['Fast Food', 'Beverages']",Al Jazirat,Zahrat Al Jabal Cafeteria
