,cost_for_two,cuisines,locality,rest_name
0,,['Italian'],"Barracuda Beach Resort, Al Shebeakah",Thunder Road Barracuda
1,,['Lebanese'],"Hotel Royal Residence Main, Green Belt Area",Sikkat Beirut
2,,['German'],Al Khour,Das Brauhaus
3,,"['Kerala', 'South Indian']","Pearl Hotel & Spa, Al Khour",Backwaters - Pearl Beach Hotel
4,,['Fast Food'],Al Humrah,KFC
5,,['Pakistani'],Al Muqta,Lahore Darbar Restaurant
6,,"['Arabian', 'Middle Eastern']",Al Riqqah,Wadi Al Neel
7,,"['Mandi', 'Arabian', 'Middle Eastern', 'Afghan']",Al Humrah,Baith Al Mandi Restaurant
8,,"['Lebanese', 'Italian']",Al Khour,Palma Coffee Shop
9,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Raas,Aloberge Restaurant And Cafeteria
10,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Raas,Al Ayaam Grills And Restaurant
11,,"['Indian', 'South Indian', 'North Indian', 'Chinese']",Al Muqta,Thalassery Restaurant
12,,['Pakistani'],Al Raas,Desi Tarqa Restaurant
13,,"['Indian', 'Pakistani']",Al Muqta,Al Syed Restaurant
14,,"['Indian', 'South Indian', 'North Indian', 'Chinese']",Al Muqta,Thalassery Restaurant
15,,['Fast Food'],Al Humrah,McDonald's
16,,['Pakistani'],Al Raas,Desi Tarqa Restaurant
17,,"['Indian', 'Pakistani']",Al Muqta,Al Syed Restaurant
18,,['Filipino'],"Pearl Hotel & Spa, Al Khour",Barako Grill
19,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Raas,UAQ Beach Hotel Restaurant
20,,['Fast Food'],Al Humrah,Arabian Chicken Hut Restaurant
21,,['Desserts'],Al Humrah,Fashion Sweets
22,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Riqqah,Amwaj Al Seif
23,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Raas,Taiba Restaurant And Grill
24,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Muqta,Bu Ali Restaurant
25,,"['Arabian', 'Middle Eastern', 'Pizza']",Al Humrah,Pizza Romana
26,,"['Arabian', 'Middle Eastern']",Al Humrah,Gulf Pastry
27,,"['Fast Food', 'Burger']",Al Humrah,Burger King
28,,['Fast Food'],Al Ramlah,Arabian Chicken Hut
29,,"['Fast Food', 'Arabian', 'Middle Eastern']",Al Ramlah,Hot Burger
30,,['Cafe'],Al Humrah,Starbucks
31,,['Afghan'],Al Salamah,Afghan Kabab Restaurant
32,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Riqqah,Sheikh Al Mandi
33,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Riqqah,Mandi Beit Al Yahar
34,,"['Thai', 'Seafood']",Al Raas,Thai Junior
35,,"['Indian', 'South Indian', 'Kerala']",Al Muqta,Utupura Restaurant
36,,"['Fast Food', 'Beverages', 'Juices']",Al Humrah,Tasty Burger Restaurant And Cafeteria
37,,"['Desserts', 'Bakery']",Al Humrah,Monkey Cookies
38,,"['Indian', 'Hyderabadi', 'Biryani']",Al Riqqah,Al Retaj Restaurant
39,,['Pakistani'],Old Umm Al Quwain,Al Sultan Restaurant
40,,"['Indian', 'South Indian', 'Chinese', 'Fast Food']",Al Muqta,Omer Khayyam Restaurant
41,,['Cafe'],Old Umm Al Quwain,Shanzilezi Coffeeshop And Cafeteria
42,,"['Arabian', 'Street Food']",Al Raas,Abu Al Ezz Al Shami Restaurant
43,,['Pakistani'],Al Muqta,Rizwan Restaurant
44,,['Iranian'],Al Riqqah,Irani Shebestan
45,,"['Fast Food', 'Arabian', 'Middle Eastern']",Al Salamah,Shams Al Aseel
46,,"['Indian', 'South Indian', 'Kerala']",Al Salamah,Al Shuwa Restaurant
47,,"['Indian', 'South Indian']",Al Raas,Al Fanoon
48,,['Fast Food'],Old Umm Al Quwain,Sadaf Restaurant And Cafeteria
49,,"['Fast Food', 'Arabian', 'Middle Eastern']",Al Humrah,Al Marsa Restaurant And Cafeteria
50,,"['Fast Food', 'Desserts', 'Burger']",Al Salamah,Food station
51,,['Bakery'],Al Ramlah,Cake World
52,,"['Lebanese', 'Syrian']",Old Umm Al Quwain,Sheikh Al Jabal Restaurant
53,,"['Beverages', 'Ice Cream']",Al Riqqah,Fruity Drinks
54,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Humrah,New Cardoba Restaurant
55,,"['Indian', 'North Indian']",Old Umm Al Quwain,Indian Palace Restaurant
56,,['Iranian'],Al Salamah,Shebestan Restaurant
57,,"['Indian', 'South Indian', 'Fast Food']",Al Humrah,Rajab Restaurant
58,,['Desserts'],Al Salamah,Balqees Sweets
59,,"['Arabian', 'Middle Eastern']",Al Ramlah,Donya Al Sham
60,,['European'],"Vida Beach Resort, Al Khour",Origins - Vida Beach Resort
61,,"['Arabian', 'Middle Eastern', 'Juices']",Old Umm Al Quwain,Cardoba Restaurant
62,,"['Arabian', 'Middle Eastern']",Al Riqqah,Al Kabab Bahraini Restaurant
63,,['Biryani'],Al Humrah,Al Noor Al Shaabi Kitchen
64,,"['Arabian', 'Middle Eastern']",Al Ramlah,King of Pastry
65,,"['Desserts', 'Ice Cream', 'Beverages']",Al Muqta,Ice Shake
66,,"['Fast Food', 'Healthy Food', 'American', 'Salad']",Al Raas,Subway
67,,"['Indian', 'North Indian']",Old Umm Al Quwain,Waves
68,,['Ice Cream'],Al Muqta,Baskin Robbins
69,,"['Fast Food', 'Juices']",Al Riqqah,Al Riyadh Cafeteria
70,,['Fast Food'],Al Ramlah,Farrouj Hut
71,,"['Arabian', 'Middle Eastern']",Al Riqqah,Al Kabab Bahraini Restaurant
72,,"['Cafe', 'Desserts']",Green Belt Area,Dunkin'
73,,"['Arabian', 'Middle Eastern']",Al Ramlah,King of Pastry
74,,['Biryani'],Al Humrah,Al Noor Al Shaabi Kitchen
75,,['Fast Food'],Old Umm Al Quwain,Moosa Sweets And Restaurant
76,,['Fast Food'],Al Salamah,Al Khayam Cafeteria
77,,"['Arabian', 'Middle Eastern']",Al Riqqah,Ibn Al Deera
78,,"['Fast Food', 'Juices']",Al Riqqah,Al Riyadh Cafeteria
79,,['Bakery'],Al Raas,Umm Al Quwain Automatic Bakery
80,,"['Indian', 'Chinese', 'Arabian']",Al Riqqah,Oasis Caterers
81,,['Fast Food'],Al Ramlah,Falafel Al Zahra Cafeteria
82,,['Filipino'],Al Raas,Mariya Restaurant
83,,['Bakery'],Al Ramlah,Cake Palace
84,,['Cafe'],Al Muqta,Cafe Hawara
85,,"['Desserts', 'Ice Cream']",Al Riqqah,Freej Halwan Ice Cream
86,,['Syrian'],Al Ramlah,Tal Alzaitoun
87,,['Filipino'],Al Muqta,Blue Moon Restaurant
88,,['Fast Food'],Al Raas,Zam Zam Cafeteria
89,,"['Fast Food', 'Juices']",Al Humrah,Al Marjana Cafeteria
90,,['Cafe'],Al Khour,Palma Saray Coffee Shop
91,,['Cafe'],Al Muqta,Beverly Hills Cafe
92,,"['Cafe', 'Coffee', 'Tea']",Al Riqqah,Asly Tea
93,,"['Indian', 'South Indian']",Al Riqqah,Abdul Wahab
94,,"['European', 'Italian', 'Arabian', 'Desserts', 'Cafe']",Al Humrah,Shakespeare and Co.
95,,['Desserts'],Al Raas,Al Hosni Omani Sweets
96,,"['Arabian', 'Middle Eastern']",Al Riqqah,Al Masy Cafeteria
97,,"['Fast Food', 'Juices']",Al Raas,Khokh Al Shay
98,,['Bangladeshi'],Old Umm Al Quwain,Sylhet Shah Jalal Restaurant
99,,"['Cafe', 'Coffee', 'Tea']",Al Riqqah,Asly Tea
100,,"['Arabian', 'Middle Eastern']",Al Raas,Al Bait Al Iraqi
101,,['Bakery'],Al Raas,Umm Al Quwain Automatic Bakery
102,,['Seafood'],Al Raas,Al Sayad Seafood
103,,"['European', 'Italian', 'Arabian', 'Desserts', 'Cafe']",Al Humrah,Shakespeare and Co.
104,,"['Mandi', 'Arabian', 'Middle Eastern']",Al Salamah,Al Jood Restaurant
